Date|Time|in|out|pktin|pktout
09/17/2014|00:00:00|2.3136602571e+05|2.0211606971e+05|7.3312520833e+02|7.2655895833e+02
09/17/2014|00:10:00|2.3160938387e+05|2.0253848387e+05|7.3429591667e+02|7.2781954167e+02
09/17/2014|00:20:00|2.3112506037e+05|2.0198761129e+05|7.3195454167e+02|7.2550045833e+02
09/17/2014|00:30:00|2.3056503313e+05|2.0150773617e+05|7.3070570833e+02|7.2432779167e+02
09/17/2014|00:40:00|2.3118408517e+05|2.0212483671e+05|7.3212866667e+02|7.2567683333e+02
09/17/2014|00:50:00|2.4366146479e+05|2.1451809830e+05|7.9719120833e+02|7.9036685746e+02
09/17/2014|01:00:00|2.3217227334e+05|2.0294726928e+05|7.3519345833e+02|7.2877576754e+02
09/17/2014|01:10:00|2.3158123617e+05|2.0239908542e+05|7.3351291667e+02|7.2709287500e+02
09/17/2014|01:20:00|2.3090083138e+05|2.0185947125e+05|7.3064170833e+02|7.2428095833e+02
09/17/2014|01:30:00|2.3199661704e+05|2.0286196675e+05|7.3464895833e+02|7.2830712500e+02
09/17/2014|01:40:00|2.2994188642e+05|2.0089510429e+05|7.2779033333e+02|7.2106987500e+02
09/17/2014|01:50:00|2.4358483071e+05|2.1457815367e+05|7.7722862500e+02|7.7054145833e+02
09/17/2014|02:00:00|2.3114444371e+05|2.0214663208e+05|7.2940029167e+02|7.2297775000e+02
09/17/2014|02:10:00|2.3018072138e+05|2.0123933496e+05|7.2559300000e+02|7.1925091667e+02
09/17/2014|02:20:00|2.3453903558e+05|2.0520717729e+05|7.4224175000e+02|7.3559279167e+02
09/17/2014|02:30:00|2.3338092750e+05|2.0398882129e+05|7.3752195833e+02|7.3046966667e+02
09/17/2014|02:40:00|2.3249227850e+05|2.0324412221e+05|7.3509304167e+02|7.2826533333e+02
09/17/2014|02:50:00|2.3198292942e+05|2.0302994500e+05|7.3117987500e+02|7.2489420833e+02
09/17/2014|03:00:00|2.2936487737e+05|2.0064781488e+05|7.2447512500e+02|7.1810004167e+02
09/17/2014|03:10:00|2.3314251925e+05|2.0380202792e+05|7.3719316667e+02|7.3060600000e+02
09/17/2014|03:20:00|2.3265233625e+05|2.0343286317e+05|7.3500450000e+02|7.2829437500e+02
09/17/2014|03:30:00|2.3027506142e+05|2.0114124171e+05|7.2662375000e+02|7.1969987500e+02
09/17/2014|03:40:00|2.3374466992e+05|2.0452204858e+05|7.3990608333e+02|7.3334533333e+02
09/17/2014|03:50:00|2.3288916308e+05|2.0360690925e+05|7.3647416667e+02|7.2997350000e+02
09/17/2014|04:00:00|2.3133360129e+05|2.0221950779e+05|7.3231691667e+02|7.2556445833e+02
09/17/2014|04:10:00|2.3237423850e+05|2.0316445029e+05|7.3465070833e+02|7.2806720833e+02
09/17/2014|04:20:00|2.3098134808e+05|2.0189257133e+05|7.3014750000e+02|7.2357970833e+02
09/17/2014|04:30:00|2.3452074708e+05|2.0510615022e+05|7.4343111508e+02|7.3691742659e+02
09/17/2014|04:40:00|2.3030554517e+05|2.0136269745e+05|7.2773259325e+02|7.2116678175e+02
09/17/2014|04:50:00|2.3176640871e+05|2.0238697058e+05|7.3301825000e+02|7.2622008333e+02
09/17/2014|05:00:00|2.3274050808e+05|2.0360503183e+05|7.3748229167e+02|7.3095512500e+02
09/17/2014|05:10:00|2.3129369375e+05|2.0224179058e+05|7.3147662500e+02|7.2505308333e+02
09/17/2014|05:20:00|2.3244214983e+05|2.0332655754e+05|7.3525954167e+02|7.2847237500e+02
09/17/2014|05:30:00|2.3219300363e+05|2.0275113921e+05|7.3377208333e+02|7.2694045833e+02
09/17/2014|05:40:00|2.3110225354e+05|2.0221598733e+05|7.3034520833e+02|7.2366387500e+02
09/17/2014|05:50:00|2.3239347337e+05|2.0340869096e+05|7.3147575000e+02|7.2520004167e+02
09/17/2014|06:00:00|2.3301037392e+05|2.0376012404e+05|7.3746575000e+02|7.3085320833e+02
09/17/2014|06:10:00|2.3066443188e+05|2.0170116304e+05|7.2699595833e+02|7.2068345833e+02
09/17/2014|06:20:00|2.3157622571e+05|2.0247820988e+05|7.3193670833e+02|7.2532391667e+02
09/17/2014|06:30:00|2.3179946621e+05|2.0270767592e+05|7.3204108333e+02|7.2511329167e+02
09/17/2014|06:40:00|2.3032704562e+05|2.0143679583e+05|7.2676250000e+02|7.2045929167e+02
09/17/2014|06:50:00|2.4135796320e+05|2.1239451669e+05|7.8263271711e+02|7.7631048026e+02
09/17/2014|07:00:00|2.3384549988e+05|2.0488206927e+05|7.4237482456e+02|7.3604310307e+02
09/17/2014|07:10:00|2.3358659395e+05|2.0411717388e+05|7.3817168820e+02|7.3133049502e+02
09/17/2014|07:20:00|2.2999897149e+05|2.0097728590e+05|7.2390908373e+02|7.1722606858e+02
09/17/2014|07:30:00|2.3156180227e+05|2.0273581381e+05|7.3242826974e+02|7.2620826974e+02
09/17/2014|07:40:00|2.3400090704e+05|2.0460570662e+05|7.3932920833e+02|7.3269841667e+02
09/17/2014|07:50:00|2.3026059554e+05|2.0128240763e+05|7.2632783333e+02|7.1989058333e+02
09/17/2014|08:00:00|2.4426288562e+05|2.1532262712e+05|7.7741287500e+02|7.7094025000e+02
09/17/2014|08:10:00|2.3192184363e+05|2.0272681954e+05|7.3422029167e+02|7.2737570833e+02
09/17/2014|08:20:00|2.3081128550e+05|2.0180509335e+05|7.3147312698e+02|7.2489416270e+02
09/17/2014|08:30:00|2.3140443600e+05|2.0209767644e+05|7.3101649802e+02|7.2439808730e+02
09/17/2014|08:40:00|2.3035730088e+05|2.0153633504e+05|7.2972841667e+02|7.2307350000e+02
09/17/2014|08:50:00|2.3187484893e+05|2.0266088005e+05|7.3445773214e+02|7.2749949603e+02
09/17/2014|09:00:00|2.3162014332e+05|2.0251255645e+05|7.3206055952e+02|7.2502775397e+02
09/17/2014|09:10:00|2.2993310933e+05|2.0106457192e+05|7.2771683333e+02|7.2133879167e+02
09/17/2014|09:20:00|2.3239617383e+05|2.0310892250e+05|7.3545891667e+02|7.2907808333e+02
09/17/2014|09:30:00|2.3011819896e+05|2.0119062279e+05|7.2844708333e+02|7.2185116667e+02
09/17/2014|09:40:00|2.3091312004e+05|2.0173057350e+05|7.3119912500e+02|7.2465600000e+02
09/17/2014|09:50:00|2.2908696737e+05|2.0044495467e+05|7.2530820833e+02|7.1896312500e+02
09/17/2014|10:00:00|2.3146819500e+05|2.0233481037e+05|7.3270412500e+02|7.2622400000e+02
09/17/2014|10:10:00|2.3222363079e+05|2.0322532700e+05|7.3769112500e+02|7.3034125000e+02
09/17/2014|10:20:00|2.3054717167e+05|2.0159300350e+05|7.2935266667e+02|7.2305858333e+02
09/17/2014|10:30:00|2.3220506492e+05|2.0296601275e+05|7.3602950000e+02|7.2921191667e+02
09/17/2014|10:40:00|2.3301583225e+05|2.0362204900e+05|7.3912508333e+02|7.3270141667e+02
09/17/2014|10:50:00|2.2964687154e+05|2.0073808250e+05|7.2586983333e+02|7.1976000000e+02
09/17/2014|11:00:00|2.3127152921e+05|2.0242741463e+05|7.3463845833e+02|7.2781670833e+02
09/17/2014|11:10:00|2.3102295921e+05|2.0211290809e+05|7.3267108114e+02|7.2593829167e+02
09/17/2014|11:20:00|2.3231997550e+05|2.0328670141e+05|7.3754425219e+02|7.3077854167e+02
09/17/2014|11:30:00|2.3127605263e+05|2.0237668296e+05|7.3310000000e+02|7.2626262500e+02
09/17/2014|11:40:00|2.3193506583e+05|2.0270372754e+05|7.3407975000e+02|7.2740654167e+02
09/17/2014|11:50:00|2.3209846446e+05|2.0287554179e+05|7.3616416667e+02|7.2939670833e+02
09/17/2014|12:00:00|2.3163767658e+05|2.9868947992e+05|7.3327683333e+02|7.6718225000e+02
09/17/2014|12:10:00|2.3070973379e+05|2.0174749029e+05|7.3017008333e+02|7.2378108333e+02
09/17/2014|12:20:00|2.3192538442e+05|2.0271593021e+05|7.3457479167e+02|7.2796329167e+02
09/17/2014|12:30:00|2.3141663683e+05|2.0224678575e+05|7.3241408333e+02|7.2578479167e+02
