Date|Time|racc|rbyt|wacc|wbyt
09/16/2014|23:50:00|2.5246918262e+01|2.9560695222e+05|2.9047722887e+01|1.9788648094e+05
09/17/2014|00:00:00|3.0100912879e+01|3.7366863515e+05|2.9539022727e+01|2.0349133576e+05
09/17/2014|00:10:00|2.6855414474e+01|3.2284424309e+05|2.8236070175e+01|1.8331314077e+05
09/17/2014|00:20:00|6.6960083542e+01|1.7259253640e+06|4.6997917920e+01|8.8774505961e+05
09/17/2014|00:30:00|2.9757556809e+01|3.6910652482e+05|3.0487336466e+01|2.1848296678e+05
09/17/2014|00:40:00|2.6817578947e+01|3.2261386779e+05|2.7717192982e+01|1.8423021137e+05
09/17/2014|00:50:00|2.6200616228e+01|3.0604303495e+05|3.0559690789e+01|2.1574557081e+05
09/17/2014|01:00:00|2.9738682018e+01|3.6804433516e+05|2.8837282895e+01|2.0892027172e+05
09/17/2014|01:10:00|2.7017442982e+01|3.2533895068e+05|2.8734219089e+01|1.8544402746e+05
09/17/2014|01:20:00|2.5244644737e+01|2.9585173226e+05|2.8490605472e+01|1.9981634588e+05
09/17/2014|01:30:00|2.9686701754e+01|3.6820312926e+05|3.0177789474e+01|2.2005811200e+05
09/17/2014|01:40:00|4.2399090017e+01|5.7736644438e+05|3.0182327277e+01|2.2665812574e+05
09/17/2014|01:50:00|2.5397559106e+01|2.9764339703e+05|2.9457953425e+01|2.0543313601e+05
09/17/2014|02:00:00|2.9672936204e+01|3.6760779983e+05|2.9352129187e+01|2.1942084859e+05
09/17/2014|02:10:00|2.6963318182e+01|3.2388428606e+05|2.7556693182e+01|1.8080849261e+05
09/17/2014|02:20:00|6.7056342105e+01|1.7278785179e+06|4.6563151316e+01|8.8492930133e+05
09/17/2014|02:30:00|2.9580315789e+01|3.6669826246e+05|2.9781815789e+01|2.1292571396e+05
09/17/2014|02:40:00|2.6965508772e+01|3.2458499032e+05|2.8305116228e+01|1.7706735270e+05
09/17/2014|02:50:00|2.6001894737e+01|3.0301899565e+05|3.0001532895e+01|2.1202922554e+05
09/17/2014|03:00:00|3.1143701754e+01|3.8370159382e+05|3.0304675439e+01|2.1409218021e+05
09/17/2014|03:10:00|2.7231929825e+01|3.2665291902e+05|2.8112131579e+01|1.8263110961e+05
09/17/2014|03:20:00|2.6267432018e+01|3.3498218218e+05|3.1027701754e+01|2.1443831130e+05
