Date|Time|racc|rbyt|wacc|wbyt
09/16/2014|23:50:00|4.5000000000e-02|1.8432000000e+02|1.0081499123e+02|1.5075640949e+06
09/17/2014|00:00:00|4.9916666667e-02|3.0003200000e+02|1.0313845833e+02|1.5606193493e+06
09/17/2014|00:10:00|7.1750000000e-02|3.4850133333e+02|9.8848958333e+01|1.5099571200e+06
09/17/2014|00:20:00|5.9041666667e-02|2.4183466667e+02|9.9618208333e+01|1.5202517333e+06
09/17/2014|00:30:00|3.5875000000e-02|1.4694400000e+02|9.8551041667e+01|1.5225717760e+06
09/17/2014|00:40:00|6.6750000000e-02|2.7340800000e+02|9.7862208333e+01|1.4933957973e+06
09/17/2014|00:50:00|9.4912280702e-02|3.8876070175e+02|9.8205651316e+01|1.5012499043e+06
09/17/2014|01:00:00|5.5879385965e-02|2.2888196491e+02|9.8054807018e+01|1.5024242077e+06
09/17/2014|01:10:00|3.5875000000e-02|1.4694400000e+02|9.8939674603e+01|1.4889297920e+06
09/17/2014|01:20:00|1.3958333333e-02|5.7173333333e+01|9.7322908730e+01|1.4801460907e+06
09/17/2014|01:30:00|1.1041666667e-02|4.5226666667e+01|1.0063620614e+02|1.4996235947e+06
09/17/2014|01:40:00|6.5833333333e-03|2.6965333333e+01|9.7660543860e+01|1.4662947840e+06
09/17/2014|01:50:00|1.3333333333e-02|5.4613333333e+01|9.6926250000e+01|1.4464515413e+06
09/17/2014|02:00:00|8.4166666667e-03|3.4474666667e+01|9.6545791667e+01|1.4684236800e+06
09/17/2014|02:10:00|6.6666666667e-03|2.7306666667e+01|9.9018625000e+01|1.4584963413e+06
09/17/2014|02:20:00|3.3333333333e-03|1.3653333333e+01|9.7155750000e+01|1.4578641920e+06
09/17/2014|02:30:00|0.0000000000e+00|0.0000000000e+00|9.6971916667e+01|1.4650908385e+06
09/17/2014|02:40:00|5.0000000000e-03|2.0480000000e+01|9.9886500000e+01|1.4613397109e+06
09/17/2014|02:50:00|3.3333333333e-03|1.3653333333e+01|9.9065607143e+01|1.4618403109e+06
09/17/2014|03:00:00|1.6666666667e-03|6.8266666667e+00|9.7959601190e+01|1.4571094065e+06
09/17/2014|03:10:00|1.3333333333e-02|5.4613333333e+01|9.8287916667e+01|1.4445303467e+06
09/17/2014|03:20:00|0.0000000000e+00|0.0000000000e+00|9.7508541667e+01|1.4446798507e+06
09/17/2014|03:30:00|0.0000000000e+00|0.0000000000e+00|9.7903583333e+01|1.4586243413e+06
09/17/2014|03:40:00|7.7833333333e-01|7.0109866667e+03|9.5876458333e+01|1.4436993707e+06
09/17/2014|03:50:00|0.0000000000e+00|0.0000000000e+00|9.6114916667e+01|1.4552821760e+06
09/17/2014|04:00:00|0.0000000000e+00|0.0000000000e+00|9.6700041667e+01|1.4616847360e+06
09/17/2014|04:10:00|4.8333333333e-03|3.2768000000e+01|9.0597375000e+01|1.4155571200e+06
09/17/2014|04:20:00|6.8333333333e-03|4.2325333333e+01|9.6934750000e+01|1.4651301547e+06
09/17/2014|04:30:00|0.0000000000e+00|0.0000000000e+00|9.3892728175e+01|1.4431930108e+06
09/17/2014|04:40:00|1.5000000000e-02|6.1440000000e+01|9.6574605159e+01|1.4471466585e+06
09/17/2014|04:50:00|5.0000000000e-03|2.0480000000e+01|9.6484375000e+01|1.4324671147e+06
09/17/2014|05:00:00|3.3333333333e-03|1.3653333333e+01|9.5733916667e+01|1.4357483520e+06
09/17/2014|05:10:00|1.1666666667e-02|4.7786666667e+01|9.4956416667e+01|1.4471335253e+06
09/17/2014|05:20:00|6.6666666667e-03|2.7306666667e+01|9.0104447368e+01|1.3972495270e+06
09/17/2014|05:30:00|1.6666666667e-03|6.8266666667e+00|9.0407677632e+01|1.3931354543e+06
09/17/2014|05:40:00|1.6666666667e-03|6.8266666667e+00|9.0311216270e+01|1.4068233915e+06
09/17/2014|05:50:00|1.6666666667e-03|6.8266666667e+00|9.1448825397e+01|1.4255530992e+06
09/17/2014|06:00:00|1.6666666667e-03|6.8266666667e+00|9.2921500000e+01|1.4568367787e+06
09/17/2014|06:10:00|1.6666666667e-03|6.8266666667e+00|9.2629666667e+01|1.4169060693e+06
09/17/2014|06:20:00|1.6666666667e-03|6.8266666667e+00|9.4405916667e+01|1.4358872747e+06
09/17/2014|06:30:00|1.6666666667e-03|6.8266666667e+00|9.3560109649e+01|1.4338008567e+06
09/17/2014|06:40:00|0.0000000000e+00|0.0000000000e+00|9.2187682018e+01|1.4044520286e+06
09/17/2014|06:50:00|0.0000000000e+00|0.0000000000e+00|8.9792458333e+01|1.3776363520e+06
09/17/2014|07:00:00|2.6333333333e-01|2.8173653333e+04|9.3408083333e+01|1.4260224000e+06
09/17/2014|07:10:00|1.0000000000e-02|4.0960000000e+01|9.3949708333e+01|1.3934987947e+06
09/17/2014|07:20:00|5.0000000000e-03|2.0480000000e+01|9.3760250000e+01|1.4308078933e+06
09/17/2014|07:30:00|3.3333333333e-03|1.3653333333e+01|9.5127041667e+01|1.4751402667e+06
09/17/2014|07:40:00|0.0000000000e+00|0.0000000000e+00|9.4916166667e+01|1.4607738880e+06
09/17/2014|07:50:00|3.3333333333e-03|1.3653333333e+01|9.4478000000e+01|1.4594088960e+06
