Date|Time|load15|load5|load1
09/16/2014|23:50:00|1.5500000000e-01|6.9341666667e-02|2.2125000000e-02
09/17/2014|00:00:00|1.3764166667e-01|1.1538333333e-01|1.4637500000e-01
09/17/2014|00:10:00|1.5827500000e-01|1.8420000000e-01|2.1317500000e-01
09/17/2014|00:20:00|1.6973333333e-01|1.8040000000e-01|1.5785000000e-01
09/17/2014|00:30:00|1.3885833333e-01|1.2302500000e-01|1.1698333333e-01
09/17/2014|00:40:00|1.3267500000e-01|1.1635833333e-01|1.0597500000e-01
09/17/2014|00:50:00|1.4931666667e-01|1.5549166667e-01|1.6343333333e-01
09/17/2014|01:00:00|1.1538333333e-01|6.9733333333e-02|4.5225000000e-02
09/17/2014|01:10:00|1.0874166667e-01|1.0622500000e-01|1.6222500000e-01
09/17/2014|01:20:00|1.2955000000e-01|1.3070000000e-01|7.9550000000e-02
09/17/2014|01:30:00|1.1000833333e-01|8.6958333333e-02|9.6933333333e-02
09/17/2014|01:40:00|1.3077500000e-01|1.2420833333e-01|1.4748333333e-01
09/17/2014|01:50:00|1.3867500000e-01|1.4718333333e-01|1.5118333333e-01
09/17/2014|02:00:00|1.0756666667e-01|6.7116666667e-02|3.2875000000e-02
09/17/2014|02:10:00|9.6850000000e-02|7.4391666667e-02|6.6383333333e-02
09/17/2014|02:20:00|8.1633333333e-02|8.0508333333e-02|1.1012500000e-01
09/17/2014|02:30:00|1.6685000000e-01|2.5155833333e-01|2.9566666667e-01
09/17/2014|02:40:00|1.5688333333e-01|1.4990000000e-01|1.2433333333e-01
09/17/2014|02:50:00|1.9258333333e-01|2.3677500000e-01|2.5410000000e-01
09/17/2014|03:00:00|2.0748333333e-01|1.9738333333e-01|1.7307500000e-01
09/17/2014|03:10:00|2.2318333333e-01|2.2178333333e-01|2.1465000000e-01
09/17/2014|03:20:00|1.8870000000e-01|1.4582500000e-01|1.2785000000e-01
09/17/2014|03:30:00|2.0760000000e-01|2.1905000000e-01|2.4175000000e-01
09/17/2014|03:40:00|2.1896666667e-01|2.0658333333e-01|2.0560833333e-01
09/17/2014|03:50:00|2.2233333333e-01|2.1551666667e-01|1.9918333333e-01
09/17/2014|04:00:00|2.6468333333e-01|2.9316666667e-01|2.8979166667e-01
09/17/2014|04:10:00|2.0840833333e-01|1.4977500000e-01|1.1372500000e-01
09/17/2014|04:20:00|1.8894166667e-01|1.7375000000e-01|2.2483333333e-01
09/17/2014|04:30:00|2.2615000000e-01|2.4637500000e-01|2.4006666667e-01
09/17/2014|04:40:00|2.0621666667e-01|1.7241666667e-01|1.6036666667e-01
09/17/2014|04:50:00|1.9926666667e-01|1.8511666667e-01|2.3017500000e-01
09/17/2014|05:00:00|2.3492500000e-01|2.5168333333e-01|2.8598333333e-01
09/17/2014|05:10:00|2.5292500000e-01|2.5970833333e-01|2.0894166667e-01
09/17/2014|05:20:00|1.9726666667e-01|1.3964166667e-01|1.0823333333e-01
09/17/2014|05:30:00|1.3490000000e-01|6.9316666667e-02|5.5083333333e-02
09/17/2014|05:40:00|1.3665000000e-01|1.2392500000e-01|1.4777500000e-01
09/17/2014|05:50:00|1.3963333333e-01|1.4951666667e-01|1.6492500000e-01
09/17/2014|06:00:00|2.0104166667e-01|2.6395833333e-01|2.8540000000e-01
09/17/2014|06:10:00|1.9541666667e-01|1.6202500000e-01|1.1058333333e-01
09/17/2014|06:20:00|1.4905000000e-01|1.1845000000e-01|1.3852500000e-01
09/17/2014|06:30:00|1.3710833333e-01|1.2625833333e-01|1.3797500000e-01
09/17/2014|06:40:00|2.0781666667e-01|2.4989166667e-01|2.2940833333e-01
09/17/2014|06:50:00|1.5956666667e-01|1.2466666667e-01|1.1257500000e-01
09/17/2014|07:00:00|1.3035833333e-01|1.0255000000e-01|8.8533333333e-02
09/17/2014|07:10:00|1.4142500000e-01|1.3778333333e-01|1.8024166667e-01
09/17/2014|07:20:00|1.3510000000e-01|1.1390833333e-01|6.4650000000e-02
09/17/2014|07:30:00|1.1505000000e-01|6.8558333333e-02|4.9891666667e-02
09/17/2014|07:40:00|9.5458333333e-02|7.8775000000e-02|1.2573333333e-01
