Date|Time|in|out|pktin|pktout
09/16/2014|23:50:00|8.1236606140e+02|8.2490433333e+02|7.5087675439e+00|8.0038157895e+00
09/17/2014|00:00:00|8.2850158333e+02|8.1832225000e+02|7.7182916667e+00|7.8917083333e+00
09/17/2014|00:10:00|8.0978507456e+02|8.1733675000e+02|7.5015811404e+00|7.9080021930e+00
09/17/2014|00:20:00|7.9392875877e+02|8.0944408333e+02|7.3060021930e+00|7.8335811404e+00
09/17/2014|00:30:00|7.9980583333e+02|8.1942633333e+02|7.3655833333e+00|7.9451666667e+00
09/17/2014|00:40:00|8.2879583333e+02|8.0986483333e+02|7.7340833333e+00|7.7837500000e+00
09/17/2014|00:50:00|8.1351858333e+02|7.9556775000e+02|7.5602916667e+00|7.6071250000e+00
09/17/2014|01:00:00|8.2119358333e+02|8.0788041667e+02|7.6459583333e+00|7.7856250000e+00
09/17/2014|01:10:00|8.1583366667e+02|8.2941800000e+02|7.5505000000e+00|8.0656666667e+00
09/17/2014|01:20:00|8.0942283333e+02|8.1356483333e+02|7.4869166667e+00|7.8594166667e+00
09/17/2014|01:30:00|8.0235075000e+02|8.0130050000e+02|7.4223750000e+00|7.7015833333e+00
09/17/2014|01:40:00|8.0358458333e+02|8.1174775000e+02|7.4201250000e+00|7.8366250000e+00
09/17/2014|01:50:00|8.2583266667e+02|8.1807250000e+02|7.6821666667e+00|7.9079166667e+00
09/17/2014|02:00:00|8.0484365909e+02|8.0416413636e+02|7.4509204545e+00|7.7408863636e+00
09/17/2014|02:10:00|8.1762996970e+02|8.0267560606e+02|7.6075909091e+00|7.7232878788e+00
09/17/2014|02:20:00|8.2344478788e+02|8.0330292424e+02|7.6716969697e+00|7.6979924242e+00
09/17/2014|02:30:00|8.2464708772e+02|8.2353073684e+02|7.6652105263e+00|7.9581578947e+00
09/17/2014|02:40:00|7.9469526316e+02|8.1152959649e+02|7.3192105263e+00|7.8428157895e+00
09/17/2014|02:50:00|8.1045835088e+02|8.3211677193e+02|7.4885789474e+00|8.0777894737e+00
