Date|Time|racc|rbyt|wacc|wbyt
09/17/2014|00:00:00|2.1555833333e+00|1.6045056000e+04|1.2558916667e+01|1.0900241067e+05
09/17/2014|00:10:00|1.8130674603e+00|1.1816643048e+04|1.4715692460e+01|1.4482878375e+05
09/17/2014|00:20:00|1.3192307853e+00|5.8337754787e+03|1.2457055347e+01|1.1027825232e+05
09/17/2014|00:30:00|8.7474342105e-01|2.5614641404e+03|1.1813335526e+01|1.0230770526e+05
09/17/2014|00:40:00|9.0666666667e-01|3.0993066667e+03|1.1515625000e+01|9.7332053333e+04
09/17/2014|00:50:00|1.0218355263e+00|4.6095898947e+03|1.1864250000e+01|1.0186325333e+05
09/17/2014|01:00:00|8.4508771930e-01|2.4374792982e+03|1.1806429825e+01|1.0206089432e+05
09/17/2014|01:10:00|1.3674649123e+00|8.0163390877e+03|1.2829052632e+01|1.1959694821e+05
09/17/2014|01:20:00|1.5265789474e+00|1.0575584561e+04|1.2507657895e+01|1.1437929095e+05
09/17/2014|01:30:00|9.1000000000e-01|2.7033600000e+03|1.1843342105e+01|1.0264360421e+05
09/17/2014|01:40:00|8.6728289474e-01|2.6333058246e+03|1.1558725877e+01|9.7877000982e+04
09/17/2014|01:50:00|1.4382757937e+00|5.9909363810e+03|1.2066291667e+01|1.0692129524e+05
09/17/2014|02:00:00|3.1824237678e+00|1.3964658847e+04|1.2212780702e+01|1.0983171304e+05
09/17/2014|02:10:00|1.2191342544e+02|1.2164580154e+06|2.6711135965e+01|3.7629505572e+05
09/17/2014|02:20:00|9.0328026316e+00|1.1747804070e+05|1.4748688596e+01|1.8345043537e+05
09/17/2014|02:30:00|1.2712390351e+00|8.0234846316e+03|1.5969436404e+01|1.6546231130e+05
09/17/2014|02:40:00|9.3579166667e-01|5.0658986667e+03|1.2112750000e+01|1.0196206933e+05
09/17/2014|02:50:00|1.8991978070e+01|2.6539736926e+05|1.2500348684e+01|1.0558306021e+05
09/17/2014|03:00:00|8.0231558062e-01|2.5370215940e+03|1.1858518379e+01|1.0169017712e+05
09/17/2014|03:10:00|8.0850528404e+00|1.8777463595e+05|1.3486516708e+01|1.2301255635e+05
09/17/2014|03:20:00|1.8732844612e+00|1.1283129637e+04|1.2760058688e+01|1.1135999476e+05
09/17/2014|03:30:00|1.3277023810e+00|8.1350542222e+03|1.2170974206e+01|1.0544658489e+05
09/17/2014|03:40:00|7.7733333333e-01|2.4159573333e+03|1.1727625000e+01|9.9195989333e+04
09/17/2014|03:50:00|1.2907916667e+00|5.7579520000e+03|1.1881333333e+01|1.0255283200e+05
09/17/2014|04:00:00|9.2845833333e-01|3.2706560000e+03|1.1966375000e+01|1.0356889600e+05
09/17/2014|04:10:00|2.8057350877e+01|2.0393500744e+05|1.6478353070e+01|1.9031163958e+05
09/17/2014|04:20:00|6.9921052632e-01|2.6591663158e+03|1.1998570175e+01|1.0521061053e+05
09/17/2014|04:30:00|8.5000000000e-01|3.5293866667e+03|1.2221289474e+01|1.0812969319e+05
09/17/2014|04:40:00|6.9607017544e-01|2.1820901053e+03|1.1730008772e+01|9.9739791719e+04
09/17/2014|04:50:00|2.4525767544e+00|4.8765880140e+04|1.2434361842e+01|1.1470985432e+05
09/17/2014|05:00:00|2.5951337719e+00|2.9274022175e+04|1.2848085526e+01|1.1769650302e+05
09/17/2014|05:10:00|3.6316578947e+00|2.0345945825e+04|1.3753997807e+01|1.2814251565e+05
09/17/2014|05:20:00|8.3504166667e-01|3.2018773333e+03|1.2274625000e+01|1.0769851733e+05
09/17/2014|05:30:00|1.4833750000e+00|2.4118784000e+04|1.2494041667e+01|1.0944034133e+05
09/17/2014|05:40:00|6.6939035088e-01|1.9508277895e+03|1.2751756579e+01|1.0910961628e+05
09/17/2014|05:50:00|1.3919157895e+01|1.3275958793e+05|1.3041763158e+01|1.0885783804e+05
09/17/2014|06:00:00|1.0040767544e+00|6.1645922807e+03|1.2512938596e+01|1.0804660435e+05
09/17/2014|06:10:00|6.2510109649e+00|1.0192761467e+05|1.8806948963e+01|2.0889478563e+05
09/17/2014|06:20:00|2.8877568922e+00|3.2137614533e+04|1.4243916116e+01|1.2924415634e+05
09/17/2014|06:30:00|1.5024097744e+00|1.5622583285e+04|1.2530705096e+01|1.0837201944e+05
09/17/2014|06:40:00|2.7499057018e+00|6.5172902175e+04|1.2499221491e+01|1.0807794526e+05
09/17/2014|06:50:00|1.1708787281e+01|1.6981845088e+05|2.6034107855e+01|4.9131505179e+05
09/17/2014|07:00:00|2.0878793860e+00|2.5070978450e+04|1.3438100478e+01|1.3153516688e+05
09/17/2014|07:10:00|2.9732500000e+00|3.0951722667e+04|1.5011125000e+01|1.4790314667e+05
09/17/2014|07:20:00|4.1886600877e+00|6.1028109474e+04|4.4024521711e+02|2.2787971413e+06
09/17/2014|07:30:00|3.3697565789e+00|2.9712285193e+04|1.5379074561e+01|1.9497728000e+05
09/17/2014|07:40:00|9.3867324561e-01|3.8320505263e+03|1.3749793860e+01|1.4310557193e+05
09/17/2014|07:50:00|1.5777456140e+00|1.2313582035e+04|1.5039614035e+01|1.6597663888e+05
09/17/2014|08:00:00|3.6772543860e+00|4.6429884632e+04|1.4698438596e+01|1.5490576168e+05
09/17/2014|08:10:00|1.8408771930e+00|1.6396036491e+04|1.5636122807e+01|1.5053050611e+05
09/17/2014|08:20:00|1.4113245614e+00|9.1813636491e+03|1.4734447368e+01|1.3698215074e+05
09/17/2014|08:30:00|9.6008333333e-01|2.9221546667e+03|1.3622291667e+01|1.3004185600e+05
09/17/2014|08:40:00|9.0579166667e-01|2.8380160000e+03|1.2881083333e+01|1.1095671467e+05
09/17/2014|08:50:00|1.0725795455e+00|4.7763222456e+03|1.3589547648e+01|1.1858922646e+05
09/17/2014|09:00:00|9.3612878788e-01|4.8024297544e+03|1.2631410686e+01|1.0830792554e+05
09/17/2014|09:10:00|1.4088289474e+00|1.3491671579e+04|1.5061377193e+01|1.5167370779e+05
09/17/2014|09:20:00|2.1341293860e+00|2.9964243088e+04|1.3488122807e+01|1.1792612154e+05
09/17/2014|09:30:00|8.8258991228e-01|2.8871500351e+03|1.7819508772e+01|3.0036914751e+05
09/17/2014|09:40:00|1.5117105263e+00|1.1938402807e+04|1.3244175439e+01|1.1332850526e+05
09/17/2014|09:50:00|9.2082296651e-01|2.9796423860e+03|1.3294216906e+01|1.1510598757e+05
09/17/2014|10:00:00|1.5562099282e+00|1.8574964772e+04|1.3512932217e+01|1.2263682899e+05
09/17/2014|10:10:00|7.0659300439e+01|6.0429020968e+05|1.7758333333e+01|1.9395089067e+05
