Date|Time|cpuusr|cpunic|cpusys|cpuidl|cpuiow|prochirq|procsirq
09/17/2014|00:00:00|1.6676423983e-01|0.0000000000e+00|1.3079189002e-01|9.9649321381e+01|4.4080826584e-02|0.0000000000e+00|2.9287015109e-04
09/17/2014|00:10:00|1.6559825961e-01|0.0000000000e+00|1.2827251063e-01|9.9674629210e+01|1.4055724959e-02|0.0000000000e+00|3.3002130004e-04
09/17/2014|00:20:00|1.6908232629e-01|0.0000000000e+00|1.3139689758e-01|9.9659341235e+01|3.1734241785e-02|0.0000000000e+00|2.9787496222e-04
09/17/2014|00:30:00|1.5762850340e-01|0.0000000000e+00|1.2531684687e-01|9.9676670962e+01|3.2053550654e-02|0.0000000000e+00|2.5318676097e-04
09/17/2014|00:40:00|1.5930148039e-01|0.0000000000e+00|1.2578416733e-01|9.9676024555e+01|3.0317302699e-02|4.0927917751e-05|2.9657695813e-04
09/17/2014|00:50:00|1.5357411727e-01|0.0000000000e+00|1.2200747965e-01|9.9685103514e+01|3.2386470375e-02|0.0000000000e+00|1.6448628350e-04
09/17/2014|01:00:00|1.6231285043e-01|0.0000000000e+00|1.2868751547e-01|9.9685471808e+01|1.5812422800e-02|0.0000000000e+00|4.5867746270e-04
09/17/2014|01:10:00|1.4739938408e-01|0.0000000000e+00|1.1278839134e-01|9.9702583968e+01|1.7992133687e-02|0.0000000000e+00|3.2790418142e-04
09/17/2014|01:20:00|1.5884659448e-01|0.0000000000e+00|1.1539899051e-01|9.9689804249e+01|1.7220379223e-02|0.0000000000e+00|2.9118749589e-04
09/17/2014|01:30:00|1.7128530975e-01|0.0000000000e+00|1.2230143319e-01|9.9667592040e+01|3.1723217906e-02|0.0000000000e+00|2.2105275541e-04
09/17/2014|01:40:00|1.7124425194e-01|0.0000000000e+00|1.3762615240e-01|9.9661064560e+01|2.1602984677e-02|0.0000000000e+00|2.9007659997e-04
09/17/2014|01:50:00|1.6842195712e-01|0.0000000000e+00|1.4136841867e-01|9.9655772245e+01|2.3584991829e-02|0.0000000000e+00|4.5742912422e-04
09/17/2014|02:00:00|1.6356878119e-01|0.0000000000e+00|1.3643293559e-01|9.9678922388e+01|1.2925751444e-02|0.0000000000e+00|2.5111110665e-04
09/17/2014|02:10:00|1.6321474286e-01|0.0000000000e+00|1.3364949007e-01|9.9646028188e+01|1.8901937332e-02|4.1643762597e-05|1.9184693540e-03
09/17/2014|02:20:00|1.5904239023e-01|0.0000000000e+00|1.3208828229e-01|9.9641405452e+01|1.6210917229e-02|1.2782419055e-04|2.2704228213e-03
09/17/2014|02:30:00|1.6197658334e-01|0.0000000000e+00|1.2951954637e-01|9.9589725013e+01|8.7829563463e-02|0.0000000000e+00|1.3110073823e-03
09/17/2014|02:40:00|1.6593391321e-01|0.0000000000e+00|1.2917570034e-01|9.9626350840e+01|6.7582497374e-02|0.0000000000e+00|4.5703178462e-04
09/17/2014|02:50:00|1.5924517231e-01|0.0000000000e+00|1.2792348013e-01|9.9632465038e+01|4.0919860576e-02|0.0000000000e+00|4.0572724149e-03
09/17/2014|03:00:00|1.6559722202e-01|0.0000000000e+00|1.2987911343e-01|9.9677281197e+01|1.8807912370e-02|0.0000000000e+00|3.7033844348e-04
09/17/2014|03:10:00|1.5262030914e-01|0.0000000000e+00|1.2120531294e-01|9.9683613835e+01|1.5814762279e-02|4.1159377341e-05|7.8924857516e-04
09/17/2014|03:20:00|1.5412019845e-01|0.0000000000e+00|1.2147962372e-01|9.9667832235e+01|3.3256413704e-02|0.0000000000e+00|4.5999759230e-04
09/17/2014|03:30:00|1.5040127344e-01|0.0000000000e+00|1.1738109646e-01|9.9694142318e+01|2.0548765718e-02|0.0000000000e+00|3.3436224515e-04
09/17/2014|03:40:00|1.4771369592e-01|0.0000000000e+00|1.1725499312e-01|9.9688109633e+01|2.1646788886e-02|0.0000000000e+00|2.4944954876e-04
09/17/2014|03:50:00|1.4900205686e-01|0.0000000000e+00|1.1666164389e-01|9.9695379893e+01|1.7379034875e-02|0.0000000000e+00|2.0730476213e-04
09/17/2014|04:00:00|1.5686721516e-01|0.0000000000e+00|1.1898849631e-01|9.9695332664e+01|1.2461525076e-02|0.0000000000e+00|2.8921717960e-04
09/17/2014|04:10:00|1.6122000292e-01|0.0000000000e+00|1.1850364364e-01|9.9652830891e+01|1.9939048844e-02|4.1698983379e-05|9.1822509842e-04
09/17/2014|04:20:00|1.4655351737e-01|0.0000000000e+00|1.0890271842e-01|9.9698291421e+01|1.7304498349e-02|0.0000000000e+00|5.0920217402e-04
09/17/2014|04:30:00|1.6286587787e-01|0.0000000000e+00|1.2249431727e-01|9.9686633843e+01|1.8261965049e-02|0.0000000000e+00|2.4702132379e-04
09/17/2014|04:40:00|1.6579949614e-01|0.0000000000e+00|1.4099899068e-01|9.9667779346e+01|1.6349993843e-02|0.0000000000e+00|2.9264153450e-04
09/17/2014|04:50:00|1.6618709327e-01|0.0000000000e+00|1.3771352634e-01|9.9651849057e+01|3.4224229287e-02|0.0000000000e+00|3.3169750906e-04
09/17/2014|05:00:00|1.5974191085e-01|0.0000000000e+00|1.3061925903e-01|9.9654237306e+01|4.4902632026e-02|0.0000000000e+00|2.8807181414e-04
