Date|Time|load15|load5|load1
09/17/2014|00:00:00|4.1977500000e-01|4.4301666667e-01|4.5533333333e-01
09/17/2014|00:10:00|4.0716666667e-01|3.8732500000e-01|3.1572500000e-01
09/17/2014|00:20:00|3.3155833333e-01|2.5807500000e-01|2.3889166667e-01
09/17/2014|00:30:00|3.1255833333e-01|2.8343333333e-01|2.7989166667e-01
09/17/2014|00:40:00|3.0262500000e-01|2.8015833333e-01|2.9677500000e-01
09/17/2014|00:50:00|3.3565000000e-01|3.7252500000e-01|4.0361666667e-01
09/17/2014|01:00:00|3.1108333333e-01|2.8050000000e-01|2.4650000000e-01
09/17/2014|01:10:00|3.7765833333e-01|4.6010000000e-01|5.9794166667e-01
09/17/2014|01:20:00|4.1554166667e-01|4.2971666667e-01|3.4980833333e-01
09/17/2014|01:30:00|4.0743333333e-01|4.0741666667e-01|3.8253333333e-01
09/17/2014|01:40:00|3.3069166667e-01|2.4660833333e-01|1.8643333333e-01
09/17/2014|01:50:00|3.6692500000e-01|4.0132500000e-01|4.7911666667e-01
09/17/2014|02:00:00|3.3745000000e-01|3.0258333333e-01|2.6911666667e-01
09/17/2014|02:10:00|3.0626666667e-01|2.7849166667e-01|2.8997500000e-01
09/17/2014|02:20:00|3.3728333333e-01|3.5562500000e-01|3.3819166667e-01
09/17/2014|02:30:00|3.0255833333e-01|2.5895833333e-01|2.4999166667e-01
09/17/2014|02:40:00|3.0210833333e-01|2.8135000000e-01|2.8585833333e-01
09/17/2014|02:50:00|2.8870000000e-01|2.6165833333e-01|2.9611666667e-01
09/17/2014|03:00:00|3.2910833333e-01|3.6125000000e-01|3.3166666667e-01
09/17/2014|03:10:00|3.1660833333e-01|3.1575000000e-01|3.3446666667e-01
09/17/2014|03:20:00|3.3216666667e-01|3.4528333333e-01|3.4018333333e-01
09/17/2014|03:30:00|3.2269166667e-01|3.1195833333e-01|3.4675833333e-01
09/17/2014|03:40:00|3.3695833333e-01|3.4380833333e-01|3.0439166667e-01
09/17/2014|03:50:00|3.1203333333e-01|3.0386666667e-01|3.1756666667e-01
09/17/2014|04:00:00|3.2118333333e-01|3.3062500000e-01|3.2545000000e-01
09/17/2014|04:10:00|3.1616666667e-01|3.1190833333e-01|3.1563333333e-01
09/17/2014|04:20:00|4.0156666667e-01|4.9473333333e-01|5.6368333333e-01
09/17/2014|04:30:00|3.9435833333e-01|3.7085833333e-01|2.7189166667e-01
09/17/2014|04:40:00|3.5837500000e-01|3.3014166667e-01|3.4849166667e-01
09/17/2014|04:50:00|3.9166666667e-01|4.1554166667e-01|4.1330833333e-01
09/17/2014|05:00:00|3.5546666667e-01|3.3224166667e-01|3.3577500000e-01
09/17/2014|05:10:00|3.5160000000e-01|3.4921666667e-01|3.2761666667e-01
09/17/2014|05:20:00|3.4525000000e-01|3.6285833333e-01|3.7822500000e-01
09/17/2014|05:30:00|3.1519166667e-01|2.7908333333e-01|2.4070833333e-01
09/17/2014|05:40:00|3.7730000000e-01|4.3231666667e-01|4.8952500000e-01
09/17/2014|05:50:00|3.7009166667e-01|3.3920833333e-01|2.9634166667e-01
09/17/2014|06:00:00|3.5604166667e-01|3.7325833333e-01|4.3681666667e-01
09/17/2014|06:10:00|3.6209166667e-01|3.4474166667e-01|2.8328333333e-01
09/17/2014|06:20:00|3.3185000000e-01|3.2305833333e-01|3.4251666667e-01
09/17/2014|06:30:00|3.6026666667e-01|3.9937500000e-01|4.3803333333e-01
09/17/2014|06:40:00|3.5622500000e-01|3.5509166667e-01|3.4101666667e-01
09/17/2014|06:50:00|3.8349166667e-01|4.0177500000e-01|4.0568333333e-01
09/17/2014|07:00:00|3.8032500000e-01|3.6046666667e-01|3.6171666667e-01
09/17/2014|07:10:00|4.0504166667e-01|4.2333333333e-01|4.0598333333e-01
09/17/2014|07:20:00|3.6795000000e-01|3.5718333333e-01|4.2713333333e-01
09/17/2014|07:30:00|4.5875000000e-01|5.0624166667e-01|4.4770000000e-01
09/17/2014|07:40:00|3.7581666667e-01|3.0214166667e-01|2.6593333333e-01
09/17/2014|07:50:00|3.5718333333e-01|3.3723333333e-01|3.5315000000e-01
09/17/2014|08:00:00|3.4136666667e-01|3.3333333333e-01|3.2760000000e-01
09/17/2014|08:10:00|3.0660000000e-01|2.6756666667e-01|2.3315000000e-01
09/17/2014|08:20:00|2.9713333333e-01|2.6441666667e-01|2.7426666667e-01
09/17/2014|08:30:00|3.0656666667e-01|2.9559166667e-01|3.2709166667e-01
09/17/2014|08:40:00|3.0564166667e-01|2.9307500000e-01|2.5149166667e-01
09/17/2014|08:50:00|3.1159166667e-01|3.1578333333e-01|3.7681666667e-01
09/17/2014|09:00:00|3.2523333333e-01|3.3406666667e-01|3.0506666667e-01
09/17/2014|09:10:00|3.0985000000e-01|2.8675000000e-01|2.8051666667e-01
09/17/2014|09:20:00|2.8913333333e-01|2.3970833333e-01|2.0779166667e-01
09/17/2014|09:30:00|2.8536666667e-01|2.9344166667e-01|3.5235833333e-01
09/17/2014|09:40:00|3.0440000000e-01|2.9362500000e-01|2.8097500000e-01
09/17/2014|09:50:00|3.1471666667e-01|3.1260833333e-01|3.1912500000e-01
09/17/2014|10:00:00|3.1280000000e-01|3.0231666667e-01|2.5753333333e-01
09/17/2014|10:10:00|2.8195000000e-01|2.4840000000e-01|2.6726666667e-01
09/17/2014|10:20:00|3.4050000000e-01|4.0190833333e-01|4.5264166667e-01
09/17/2014|10:30:00|3.7030000000e-01|4.1322500000e-01|4.2175833333e-01
09/17/2014|10:40:00|3.9710000000e-01|4.0408333333e-01|4.0875833333e-01
09/17/2014|10:50:00|4.1486666667e-01|4.3166666667e-01|4.6124166667e-01
09/17/2014|11:00:00|4.6588333333e-01|5.1281666667e-01|5.2508333333e-01
09/17/2014|11:10:00|5.4486666667e-01|6.0883333333e-01|6.0196666667e-01
09/17/2014|11:20:00|5.0428333333e-01|4.7925000000e-01|4.2861666667e-01
09/17/2014|11:30:00|4.8151666667e-01|4.5830000000e-01|4.8435000000e-01
09/17/2014|11:40:00|5.5586666667e-01|6.2312500000e-01|6.6120000000e-01
09/17/2014|11:50:00|5.3890000000e-01|4.9357500000e-01|3.9715000000e-01
09/17/2014|12:00:00|4.9463333333e-01|4.4746666667e-01|4.6626666667e-01
09/17/2014|12:10:00|4.4910000000e-01|3.8304166667e-01|3.5690833333e-01
