Date|Time|cpuusr|cpunic|cpusys|cpuidl|cpuiow|prochirq|procsirq
09/17/2014|00:00:00|3.1257349835e+00|0.0000000000e+00|6.8270308641e-01|9.5670705926e+01|3.8317106689e-01|0.0000000000e+00|1.3768493705e-01
09/17/2014|00:10:00|2.9156953969e+00|0.0000000000e+00|5.9568878368e-01|9.5887735829e+01|4.7017477548e-01|0.0000000000e+00|1.3070521536e-01
09/17/2014|00:20:00|2.8559966446e+00|0.0000000000e+00|5.3251667539e-01|9.6097872209e+01|3.9437511327e-01|1.6650016650e-03|1.1757435571e-01
09/17/2014|00:30:00|2.8345299928e+00|0.0000000000e+00|5.3696282416e-01|9.6114268046e+01|3.9602778545e-01|0.0000000000e+00|1.1821135178e-01
09/17/2014|00:40:00|4.0876391593e+00|0.0000000000e+00|5.9016682129e-01|9.4789654484e+01|4.0093155059e-01|0.0000000000e+00|1.3160798530e-01
09/17/2014|00:50:00|3.0676417228e+00|0.0000000000e+00|5.6203695539e-01|9.5887410225e+01|3.5706882994e-01|0.0000000000e+00|1.2584226700e-01
09/17/2014|01:00:00|3.2841052311e+00|0.0000000000e+00|5.8566051435e-01|9.5579124181e+01|4.2310226451e-01|0.0000000000e+00|1.2800780880e-01
09/17/2014|01:10:00|3.6024251226e+00|0.0000000000e+00|6.5269013785e-01|9.5128730613e+01|4.6293761940e-01|7.8969243558e-04|1.5242681483e-01
09/17/2014|01:20:00|2.9843604530e+00|0.0000000000e+00|5.7486635640e-01|9.5981309179e+01|3.3909255014e-01|9.5594347465e-04|1.1941551808e-01
09/17/2014|01:30:00|2.7783669508e+00|0.0000000000e+00|5.2906446171e-01|9.6216601718e+01|3.6769239991e-01|0.0000000000e+00|1.0827446928e-01
09/17/2014|01:40:00|2.8349475041e+00|0.0000000000e+00|5.2876295646e-01|9.6210564158e+01|3.1824016051e-01|0.0000000000e+00|1.0748522060e-01
09/17/2014|01:50:00|2.9131829080e+00|0.0000000000e+00|5.5272650271e-01|9.6067055715e+01|3.3961799942e-01|0.0000000000e+00|1.2741687532e-01
09/17/2014|02:00:00|2.9143177957e+00|0.0000000000e+00|6.1700120607e-01|9.5974354609e+01|3.6184299658e-01|0.0000000000e+00|1.3248339223e-01
09/17/2014|02:10:00|3.2384422474e+00|0.0000000000e+00|6.2376244076e-01|9.5587489369e+01|4.1381466531e-01|0.0000000000e+00|1.3649127796e-01
09/17/2014|02:20:00|3.3271184861e+00|0.0000000000e+00|6.1613753222e-01|9.5522788846e+01|4.0239485188e-01|1.6616816218e-03|1.2989860200e-01
09/17/2014|02:30:00|3.0928926074e+00|0.0000000000e+00|5.6781766620e-01|9.5834381635e+01|3.7774227191e-01|0.0000000000e+00|1.2716581956e-01
09/17/2014|02:40:00|3.1362125588e+00|0.0000000000e+00|5.8423791565e-01|9.5797281860e+01|3.4888372344e-01|0.0000000000e+00|1.3338394166e-01
09/17/2014|02:50:00|3.0709259190e+00|0.0000000000e+00|5.7477317672e-01|9.5858937699e+01|3.6365552348e-01|0.0000000000e+00|1.3170768205e-01
09/17/2014|03:00:00|2.7839084347e+00|0.0000000000e+00|5.3118326262e-01|9.6155846665e+01|4.1911130005e-01|0.0000000000e+00|1.0995033813e-01
09/17/2014|03:10:00|2.8371026292e+00|0.0000000000e+00|5.2532589751e-01|9.6104753968e+01|4.1797443155e-01|8.3333333333e-04|1.1400974022e-01
09/17/2014|03:20:00|3.0350393294e+00|5.3360013340e-02|6.4726129093e-01|9.5703123797e+01|4.3704683164e-01|0.0000000000e+00|1.2416873752e-01
09/17/2014|03:30:00|3.0564473051e+00|0.0000000000e+00|5.7621225858e-01|9.5767119040e+01|4.7716155560e-01|0.0000000000e+00|1.2305984102e-01
09/17/2014|03:40:00|4.5938435302e+00|0.0000000000e+00|6.0121272326e-01|9.4155316572e+01|5.1257651788e-01|0.0000000000e+00|1.3705065709e-01
09/17/2014|03:50:00|3.1707261764e+00|0.0000000000e+00|6.0537352519e-01|9.5680501180e+01|4.2009461308e-01|0.0000000000e+00|1.2330450573e-01
09/17/2014|04:00:00|3.3046760726e+00|0.0000000000e+00|6.4292777522e-01|9.5485197362e+01|4.4225733842e-01|0.0000000000e+00|1.2494145158e-01
09/17/2014|04:10:00|3.2389901115e+00|0.0000000000e+00|5.8568947913e-01|9.5609116805e+01|4.3230273592e-01|0.0000000000e+00|1.3390086857e-01
09/17/2014|04:20:00|3.2921685455e+00|0.0000000000e+00|5.7693113827e-01|9.5633145669e+01|3.5932044634e-01|0.0000000000e+00|1.3843420080e-01
09/17/2014|04:30:00|3.1627965621e+00|0.0000000000e+00|5.9731506185e-01|9.5746535902e+01|3.7000574775e-01|0.0000000000e+00|1.2334672637e-01
09/17/2014|04:40:00|3.1472545712e+00|0.0000000000e+00|5.9568854992e-01|9.5787070978e+01|3.3834604017e-01|0.0000000000e+00|1.3163986106e-01
09/17/2014|04:50:00|3.2511447904e+00|0.0000000000e+00|6.2622389307e-01|9.5610483724e+01|3.8440142660e-01|0.0000000000e+00|1.2774616566e-01
09/17/2014|05:00:00|2.9342562533e+00|0.0000000000e+00|5.3740763627e-01|9.6046978823e+01|3.6247735918e-01|8.3375020844e-04|1.1804617759e-01
09/17/2014|05:10:00|3.2072380374e+00|0.0000000000e+00|5.8393321251e-01|9.5715178332e+01|3.5815835872e-01|0.0000000000e+00|1.3549205974e-01
09/17/2014|05:20:00|3.4079609681e+00|0.0000000000e+00|6.0252621359e-01|9.5448691517e+01|4.0263112040e-01|0.0000000000e+00|1.3819018119e-01
09/17/2014|05:30:00|3.1019672944e+00|0.0000000000e+00|5.5446310979e-01|9.5870029637e+01|3.4204125052e-01|0.0000000000e+00|1.3149870818e-01
09/17/2014|05:40:00|3.4439803323e+00|0.0000000000e+00|6.2583591876e-01|9.5412409739e+01|3.7799581365e-01|1.6666666667e-03|1.3811152971e-01
09/17/2014|05:50:00|3.4272108417e+00|0.0000000000e+00|6.6748199126e-01|9.5408105700e+01|3.5885722355e-01|0.0000000000e+00|1.3834424300e-01
09/17/2014|06:00:00|3.0735854905e+00|0.0000000000e+00|5.8133025125e-01|9.5875545909e+01|3.4370461675e-01|0.0000000000e+00|1.2583373299e-01
09/17/2014|06:10:00|3.2958525433e+00|0.0000000000e+00|6.4270715243e-01|9.5523067536e+01|4.0010669960e-01|0.0000000000e+00|1.3826606825e-01
09/17/2014|06:20:00|3.0888148017e+00|0.0000000000e+00|6.1273469035e-01|9.5838438338e+01|3.2082238351e-01|0.0000000000e+00|1.3918978638e-01
09/17/2014|06:30:00|3.0687836892e+00|0.0000000000e+00|5.7674380257e-01|9.5859303435e+01|3.7110901293e-01|0.0000000000e+00|1.2406006040e-01
09/17/2014|06:40:00|4.3566094712e+00|0.0000000000e+00|5.7541303049e-01|9.4568436621e+01|3.7611717611e-01|0.0000000000e+00|1.2342370123e-01
09/17/2014|06:50:00|3.3844889857e+00|0.0000000000e+00|6.4016926363e-01|9.5456449706e+01|3.8562794156e-01|8.3208520553e-04|1.3243201741e-01
09/17/2014|07:00:00|3.3390405773e+00|0.0000000000e+00|6.1349864957e-01|9.5333324913e+01|5.7774933369e-01|0.0000000000e+00|1.3638652666e-01
09/17/2014|07:10:00|3.4875025787e+00|0.0000000000e+00|7.2162987004e-01|9.5157089364e+01|4.9001793458e-01|0.0000000000e+00|1.4376025231e-01
09/17/2014|07:20:00|3.5056057421e+00|0.0000000000e+00|6.5710539457e-01|9.5345710029e+01|3.4654076338e-01|0.0000000000e+00|1.4503807124e-01
09/17/2014|07:30:00|3.2523222582e+00|0.0000000000e+00|6.0934869732e-01|9.5668681588e+01|3.4042244025e-01|0.0000000000e+00|1.2922501618e-01
09/17/2014|07:40:00|3.2303562276e+00|0.0000000000e+00|5.8635321646e-01|9.5731957328e+01|3.2309923284e-01|0.0000000000e+00|1.2823399470e-01
09/17/2014|07:50:00|3.2776310269e+00|0.0000000000e+00|6.4894143754e-01|9.5630218436e+01|3.1990692544e-01|8.3333333333e-04|1.2246884043e-01
09/17/2014|08:00:00|3.0584891860e+00|0.0000000000e+00|5.9034517122e-01|9.5837850508e+01|3.8576771526e-01|0.0000000000e+00|1.2754741999e-01
09/17/2014|08:10:00|3.1648733299e+00|0.0000000000e+00|6.4442826535e-01|9.5679890578e+01|3.8092825183e-01|0.0000000000e+00|1.2987957530e-01
09/17/2014|08:20:00|3.5131861056e+00|0.0000000000e+00|6.7464444383e-01|9.5299943942e+01|3.7965373967e-01|0.0000000000e+00|1.3257176896e-01
09/17/2014|08:30:00|3.1316812670e+00|0.0000000000e+00|5.8948646655e-01|9.5769353945e+01|3.8291609425e-01|0.0000000000e+00|1.2656222717e-01
09/17/2014|08:40:00|3.5017101655e+00|0.0000000000e+00|6.3428948662e-01|9.5290780855e+01|4.2344151030e-01|0.0000000000e+00|1.4977798247e-01
09/17/2014|08:50:00|3.4960980157e+00|0.0000000000e+00|6.3989776533e-01|9.5360375720e+01|3.5528691351e-01|0.0000000000e+00|1.4834158535e-01
09/17/2014|09:00:00|3.3978604644e+00|0.0000000000e+00|6.4177255740e-01|9.5483899448e+01|3.4193451369e-01|0.0000000000e+00|1.3453301608e-01
