Date|Time|load15|load5|load1
09/17/2014|00:00:00|9.5480833333e-01|1.0594166667e+00|1.1419250000e+00
09/17/2014|00:10:00|9.4724166667e-01|9.1273333333e-01|7.5035000000e-01
09/17/2014|00:20:00|7.7330833333e-01|5.8870000000e-01|4.2854166667e-01
09/17/2014|00:30:00|7.0998333333e-01|6.8129166667e-01|8.0773333333e-01
09/17/2014|00:40:00|7.0656666667e-01|6.8005833333e-01|6.1562500000e-01
09/17/2014|00:50:00|6.6390833333e-01|5.9990000000e-01|5.1353333333e-01
09/17/2014|01:00:00|6.1015000000e-01|5.9847500000e-01|7.3490833333e-01
09/17/2014|01:10:00|5.6050000000e-01|4.6379166667e-01|3.2573333333e-01
09/17/2014|01:20:00|4.2471666667e-01|2.9228333333e-01|2.3840000000e-01
09/17/2014|01:30:00|4.7322500000e-01|5.1170000000e-01|5.7188333333e-01
09/17/2014|01:40:00|4.1847500000e-01|3.6354166667e-01|3.2480833333e-01
09/17/2014|01:50:00|3.3184166667e-01|2.3655000000e-01|1.9643333333e-01
09/17/2014|02:00:00|3.6390833333e-01|3.9018333333e-01|4.6344166667e-01
09/17/2014|02:10:00|3.7279166667e-01|4.0315000000e-01|5.5851666667e-01
09/17/2014|02:20:00|5.1273333333e-01|6.3520000000e-01|5.9292500000e-01
09/17/2014|02:30:00|4.7055000000e-01|4.2520833333e-01|2.9697500000e-01
09/17/2014|02:40:00|3.3741666667e-01|2.1312500000e-01|1.5236666667e-01
09/17/2014|02:50:00|2.8175000000e-01|2.5359166667e-01|3.4850000000e-01
09/17/2014|03:00:00|3.0046666667e-01|2.8208333333e-01|1.9789166667e-01
09/17/2014|03:10:00|2.1306666667e-01|1.2346666667e-01|1.0375000000e-01
09/17/2014|03:20:00|2.5810833333e-01|3.1014166667e-01|4.6876666667e-01
09/17/2014|03:30:00|3.8744166667e-01|4.9505000000e-01|5.1808333333e-01
09/17/2014|03:40:00|4.1090000000e-01|4.3642500000e-01|3.7344166667e-01
09/17/2014|03:50:00|3.7859166667e-01|3.4673333333e-01|3.1672500000e-01
09/17/2014|04:00:00|3.3970000000e-01|2.8889166667e-01|2.4753333333e-01
09/17/2014|04:10:00|2.6977500000e-01|2.2027500000e-01|2.8598333333e-01
09/17/2014|04:20:00|4.1203333333e-01|5.3758333333e-01|5.5447500000e-01
09/17/2014|04:30:00|3.4798333333e-01|2.9165833333e-01|2.4094166667e-01
09/17/2014|04:40:00|3.1200833333e-01|2.8697500000e-01|3.5260000000e-01
09/17/2014|04:50:00|4.0247500000e-01|4.6499166667e-01|4.7301666667e-01
09/17/2014|05:00:00|3.8812500000e-01|3.8254166667e-01|3.4533333333e-01
09/17/2014|05:10:00|4.3154166667e-01|4.7332500000e-01|5.0219166667e-01
09/17/2014|05:20:00|5.1032500000e-01|5.8948333333e-01|6.4156666667e-01
09/17/2014|05:30:00|5.5177500000e-01|5.8948333333e-01|5.4599166667e-01
09/17/2014|05:40:00|7.0225000000e-01|8.5686666667e-01|9.6389166667e-01
09/17/2014|05:50:00|8.4497500000e-01|9.8859166667e-01|9.9245000000e-01
09/17/2014|06:00:00|9.1105833333e-01|9.9934166667e-01|1.0181000000e+00
09/17/2014|06:10:00|8.8561666667e-01|8.4380833333e-01|7.6109166667e-01
09/17/2014|06:20:00|8.5552500000e-01|8.1165833333e-01|7.5911666667e-01
09/17/2014|06:30:00|9.1739166667e-01|9.5130000000e-01|9.1975833333e-01
09/17/2014|06:40:00|8.9153333333e-01|8.8348333333e-01|8.7420000000e-01
09/17/2014|06:50:00|8.5650000000e-01|8.1305833333e-01|7.7048333333e-01
09/17/2014|07:00:00|8.0203333333e-01|7.4959166667e-01|7.4938333333e-01
09/17/2014|07:10:00|8.4995000000e-01|8.9948333333e-01|9.1215833333e-01
09/17/2014|07:20:00|9.2223333333e-01|9.6183333333e-01|8.2905000000e-01
09/17/2014|07:30:00|7.2221666667e-01|5.6173333333e-01|5.0785833333e-01
09/17/2014|07:40:00|6.9075833333e-01|6.6383333333e-01|7.7640833333e-01
09/17/2014|07:50:00|6.9327500000e-01|6.4423333333e-01|4.6727500000e-01
09/17/2014|08:00:00|6.0294166667e-01|5.4470000000e-01|5.8615000000e-01
09/17/2014|08:10:00|5.9964166667e-01|5.8756666667e-01|5.3565000000e-01
09/17/2014|08:20:00|4.5161666667e-01|3.0466666667e-01|2.3595000000e-01
09/17/2014|08:30:00|4.4463333333e-01|4.4701666667e-01|5.1195833333e-01
09/17/2014|08:40:00|4.4922500000e-01|4.2748333333e-01|3.6301666667e-01
09/17/2014|08:50:00|3.6635000000e-01|2.9399166667e-01|3.0710833333e-01
09/17/2014|09:00:00|4.4631666667e-01|5.3620833333e-01|6.1722500000e-01
09/17/2014|09:10:00|3.7219166667e-01|2.7648333333e-01|1.2677500000e-01
09/17/2014|09:20:00|3.0056666667e-01|2.4491666667e-01|3.2983333333e-01
09/17/2014|09:30:00|4.1594166667e-01|5.0946666667e-01|5.0547500000e-01
09/17/2014|09:40:00|3.7379166667e-01|3.3543333333e-01|3.1237500000e-01
09/17/2014|09:50:00|3.5403333333e-01|3.3863333333e-01|3.4556666667e-01
09/17/2014|10:00:00|4.5913333333e-01|5.9329166667e-01|7.5868333333e-01
09/17/2014|10:10:00|5.0960833333e-01|5.2462500000e-01|4.0550833333e-01
09/17/2014|10:20:00|4.9015833333e-01|4.6484166667e-01|4.1557500000e-01
09/17/2014|10:30:00|3.8880833333e-01|2.9830833333e-01|2.6709166667e-01
09/17/2014|10:40:00|4.0452500000e-01|4.4841666667e-01|5.8895833333e-01
09/17/2014|10:50:00|4.2275000000e-01|3.9615000000e-01|2.5531666667e-01
09/17/2014|11:00:00|3.6973333333e-01|3.4320833333e-01|4.0470000000e-01
09/17/2014|11:10:00|5.0020000000e-01|6.3652500000e-01|7.4453333333e-01
09/17/2014|11:20:00|4.7592500000e-01|4.3066666667e-01|2.8810833333e-01
09/17/2014|11:30:00|4.5323333333e-01|4.6355000000e-01|5.5485833333e-01
09/17/2014|11:40:00|4.4525833333e-01|4.0638333333e-01|3.1971666667e-01
09/17/2014|11:50:00|4.1720000000e-01|3.9923333333e-01|4.7490000000e-01
09/17/2014|12:00:00|4.9351666667e-01|5.4783333333e-01|5.3544166667e-01
09/17/2014|12:10:00|4.9253333333e-01|4.8624166667e-01|4.3275833333e-01
09/17/2014|12:20:00|4.9028333333e-01|4.8170833333e-01|5.2459166667e-01
09/17/2014|12:30:00|5.1708333333e-01|5.1693333333e-01|4.6340833333e-01
09/17/2014|12:40:00|5.7155000000e-01|6.4628333333e-01|7.4741666667e-01
09/17/2014|12:50:00|6.8263333333e-01|7.6064166667e-01|6.9961666667e-01
09/17/2014|13:00:00|6.9233333333e-01|7.1380833333e-01|7.5326666667e-01
09/17/2014|13:10:00|8.1125000000e-01|9.3550000000e-01|1.0225000000e+00
09/17/2014|13:20:00|8.2916666667e-01|8.1646666667e-01|6.7448333333e-01
09/17/2014|13:30:00|8.4247500000e-01|8.7450833333e-01|9.3164166667e-01
09/17/2014|13:40:00|9.4273333333e-01|1.0029500000e+00|9.1400833333e-01
09/17/2014|13:50:00|8.6142500000e-01|8.0762500000e-01|8.1035000000e-01
09/17/2014|14:00:00|9.9465000000e-01|1.0983333333e+00|1.0820083333e+00
09/17/2014|14:10:00|8.8369166667e-01|7.7705000000e-01|6.8275000000e-01
09/17/2014|14:20:00|9.4912500000e-01|1.0308333333e+00|1.1806416667e+00
09/17/2014|14:30:00|8.6975000000e-01|7.4793333333e-01|4.9996666667e-01
09/17/2014|14:40:00|7.3966666667e-01|6.2728333333e-01|6.5175000000e-01
09/17/2014|14:50:00|7.7565000000e-01|7.7315000000e-01|7.5006666667e-01
09/17/2014|15:00:00|8.2400833333e-01|8.6635000000e-01|8.8672500000e-01
09/17/2014|15:10:00|7.6074166667e-01|7.1455833333e-01|6.8579166667e-01
09/17/2014|15:20:00|5.9832500000e-01|4.1489166667e-01|2.7591666667e-01
09/17/2014|15:30:00|7.3867500000e-01|9.1964166667e-01|1.1462916667e+00
09/17/2014|15:40:00|6.7839166667e-01|5.6310833333e-01|3.4366666667e-01
09/17/2014|15:50:00|5.1821666667e-01|3.6740833333e-01|3.3586666667e-01
09/17/2014|16:00:00|4.1964166667e-01|3.2054166667e-01|3.1370833333e-01
09/17/2014|16:10:00|4.4105833333e-01|4.5407500000e-01|5.0395000000e-01
09/17/2014|16:20:00|4.2517500000e-01|4.1248333333e-01|4.3015000000e-01
09/17/2014|16:30:00|4.7357500000e-01|4.9980833333e-01|4.5784166667e-01
09/17/2014|16:40:00|3.6162500000e-01|2.6228333333e-01|1.8917500000e-01
09/17/2014|16:50:00|3.5498333333e-01|3.8613333333e-01|5.3390000000e-01
09/17/2014|17:00:00|4.2871666667e-01|4.7681666667e-01|4.2360833333e-01
09/17/2014|17:10:00|3.9494166667e-01|3.7333333333e-01|3.8410833333e-01
09/17/2014|17:20:00|4.9740000000e-01|5.6190833333e-01|5.2626666667e-01
09/17/2014|17:30:00|4.0173333333e-01|3.2072500000e-01|2.6995833333e-01
09/17/2014|17:40:00|4.1473333333e-01|4.3928333333e-01|5.0700833333e-01
09/17/2014|17:50:00|3.5150000000e-01|2.8810000000e-01|2.1561666667e-01
09/17/2014|18:00:00|2.9533333333e-01|2.3567500000e-01|2.3660000000e-01
09/17/2014|18:10:00|3.3802500000e-01|3.5875833333e-01|3.7141666667e-01
09/17/2014|18:20:00|3.2482500000e-01|3.2714166667e-01|3.5269166667e-01
09/17/2014|18:30:00|3.9623333333e-01|4.9678333333e-01|5.6136666667e-01
09/17/2014|18:40:00|4.3811666667e-01|4.5540000000e-01|3.8288333333e-01
09/17/2014|18:50:00|4.1613333333e-01|4.2106666667e-01|4.2778333333e-01
09/17/2014|19:00:00|4.7978333333e-01|5.2536666667e-01|5.3442500000e-01
09/17/2014|19:10:00|5.1782500000e-01|5.5647500000e-01|6.0371666667e-01
09/17/2014|19:20:00|6.9154166667e-01|8.6744166667e-01|9.2255833333e-01
09/17/2014|19:30:00|7.2500000000e-01|7.5175833333e-01|6.9809166667e-01
09/17/2014|19:40:00|7.7752500000e-01|8.1957500000e-01|8.6920833333e-01
09/17/2014|19:50:00|8.9595833333e-01|9.7618333333e-01|9.0453333333e-01
09/17/2014|20:00:00|8.4422500000e-01|8.0595833333e-01|7.6482500000e-01
09/17/2014|20:10:00|8.7310833333e-01|8.9518333333e-01|9.1510833333e-01
09/17/2014|20:20:00|8.6445000000e-01|8.6365000000e-01|8.3053333333e-01
09/17/2014|20:30:00|8.4564166667e-01|8.3968333333e-01|8.8670000000e-01
09/17/2014|20:40:00|9.9625833333e-01|1.1280666667e+00|1.1529416667e+00
09/17/2014|20:50:00|9.7161666667e-01|9.2443333333e-01|7.5155833333e-01
09/17/2014|21:00:00|8.6628333333e-01|8.0102500000e-01|8.2650000000e-01
09/17/2014|21:10:00|8.5743333333e-01|8.3068333333e-01|7.5895000000e-01
09/17/2014|21:20:00|7.8725000000e-01|7.3409166667e-01|7.5842500000e-01
09/17/2014|21:30:00|7.4812500000e-01|6.6726666667e-01|5.3861666667e-01
09/17/2014|21:40:00|6.2971666667e-01|5.2010000000e-01|4.8298333333e-01
09/17/2014|21:50:00|6.1602500000e-01|6.0072500000e-01|6.4619166667e-01
09/17/2014|22:00:00|5.9985833333e-01|5.6083333333e-01|4.8305000000e-01
09/17/2014|22:10:00|4.9921666667e-01|4.0899166667e-01|3.7545833333e-01
09/17/2014|22:20:00|4.0378333333e-01|2.9994166667e-01|2.5768333333e-01
09/17/2014|22:30:00|4.9630833333e-01|5.8888333333e-01|6.7235000000e-01
09/17/2014|22:40:00|4.7717500000e-01|4.7045833333e-01|4.8733333333e-01
09/17/2014|22:50:00|5.2019166667e-01|5.6002500000e-01|5.6013333333e-01
09/17/2014|23:00:00|4.6520000000e-01|4.1356666667e-01|3.8673333333e-01
09/17/2014|23:10:00|4.6640000000e-01|4.4549166667e-01|3.8944166667e-01
09/17/2014|23:20:00|4.2282500000e-01|3.9820833333e-01|4.2960833333e-01
09/17/2014|23:30:00|4.4155000000e-01|4.8140000000e-01|5.8585833333e-01
09/17/2014|23:40:00|4.4632500000e-01|4.1455833333e-01|2.6666666667e-01
09/17/2014|23:50:00|3.9304166667e-01|3.4814166667e-01|3.4706666667e-01
09/18/2014|00:00:00|3.9790000000e-01|3.9437500000e-01|5.0225833333e-01
09/18/2014|00:10:00|5.3565000000e-01|6.3850833333e-01|6.4207500000e-01
09/18/2014|00:20:00|6.0320833333e-01|7.0264166667e-01|7.6266666667e-01
09/18/2014|00:30:00|4.9035000000e-01|3.5192500000e-01|1.7030000000e-01
09/18/2014|00:40:00|4.0172500000e-01|3.3531666667e-01|3.5593333333e-01
09/18/2014|00:50:00|3.8051666667e-01|3.4445000000e-01|3.3903333333e-01
09/18/2014|01:00:00|3.2613333333e-01|2.5861666667e-01|2.1375000000e-01
09/18/2014|01:10:00|4.5488333333e-01|6.1769166667e-01|8.5193333333e-01
09/18/2014|01:20:00|4.9954166667e-01|5.1020833333e-01|4.0486666667e-01
09/18/2014|01:30:00|4.4209166667e-01|3.9048333333e-01|3.3210000000e-01
09/18/2014|01:40:00|4.5739166667e-01|4.7587500000e-01|4.9206666667e-01
09/18/2014|01:50:00|4.9400833333e-01|5.3837500000e-01|5.8154166667e-01
09/18/2014|02:00:00|5.3286666667e-01|5.7053333333e-01|6.0465000000e-01
09/18/2014|02:10:00|6.2188333333e-01|6.9169166667e-01|6.2177500000e-01
09/18/2014|02:20:00|6.4610000000e-01|7.1098333333e-01|8.0583333333e-01
09/18/2014|02:30:00|7.7421666667e-01|9.0410833333e-01|9.3390833333e-01
