Date|Time|in|out|pktin|pktout
09/17/2014|00:00:00|4.4226293417e+04|1.4273991000e+04|2.8134166667e+02|5.9677500000e+01
09/17/2014|00:10:00|4.4067078750e+04|1.4258331167e+04|2.8148375000e+02|5.9283833333e+01
09/17/2014|00:20:00|4.4578115991e+04|1.4266167197e+04|2.8057403947e+02|5.8927144737e+01
09/17/2014|00:30:00|4.3578418675e+04|1.4206179886e+04|2.7821796053e+02|5.9100688596e+01
09/17/2014|00:40:00|4.3527607917e+04|1.4211469083e+04|2.7755570833e+02|5.8963041667e+01
09/17/2014|00:50:00|4.3372710145e+04|1.4175797066e+04|2.7705578728e+02|5.8556094298e+01
09/17/2014|01:00:00|4.3961256939e+04|1.4270054851e+04|2.8067142105e+02|5.9494114035e+01
09/17/2014|01:10:00|4.3599466535e+04|1.4360223044e+04|2.7756171930e+02|5.9383412281e+01
09/17/2014|01:20:00|4.3498378807e+04|1.4056560298e+04|2.7743057895e+02|5.8273017544e+01
09/17/2014|01:30:00|4.3616576526e+04|1.4216428772e+04|2.7913087719e+02|5.9185403509e+01
09/17/2014|01:40:00|4.5165307215e+04|1.4286430136e+04|2.8201599123e+02|5.9722416667e+01
09/17/2014|01:50:00|4.6342060625e+04|1.4190838875e+04|2.8281745833e+02|5.9000708333e+01
09/17/2014|02:00:00|4.3820467178e+04|1.4306674428e+04|2.8042763816e+02|5.9424875000e+01
09/17/2014|02:10:00|4.3767045781e+04|1.4311937447e+04|2.8008148684e+02|5.9814416667e+01
09/17/2014|02:20:00|4.3583623183e+04|1.4176799000e+04|2.7851024603e+02|5.9037547619e+01
09/17/2014|02:30:00|5.9539069772e+04|1.4164647360e+04|2.8919104942e+02|5.8364210355e+01
09/17/2014|02:40:00|4.4957932712e+04|1.4317799057e+04|2.8269353788e+02|5.9415158692e+01
09/17/2014|02:50:00|4.3918702132e+04|1.4141839154e+04|2.8445875000e+02|5.9072578947e+01
09/17/2014|03:00:00|4.3771083281e+04|1.4180769017e+04|2.7881275794e+02|5.8603702799e+01
09/17/2014|03:10:00|4.4339667579e+04|1.4274980913e+04|2.8125629470e+02|5.9441156850e+01
09/17/2014|03:20:00|4.3771569884e+04|1.4220537958e+04|2.7943365570e+02|5.9427769737e+01
09/17/2014|03:30:00|4.4059053417e+04|1.4293434250e+04|2.8027775000e+02|5.9096333333e+01
09/17/2014|03:40:00|4.5281395208e+04|1.4168248458e+04|2.8432720833e+02|5.8494791667e+01
09/17/2014|03:50:00|4.3745986737e+04|1.4210571947e+04|2.7844308772e+02|5.8859982456e+01
09/17/2014|04:00:00|4.3689503513e+04|1.4201150303e+04|2.7849366228e+02|5.8630517544e+01
09/17/2014|04:10:00|4.5247089066e+04|1.4269004627e+04|2.8320068860e+02|5.9634377193e+01
09/17/2014|04:20:00|4.5737946768e+04|1.4195966956e+04|2.8503206140e+02|5.8742622807e+01
09/17/2014|04:30:00|4.4219178417e+04|1.4174669083e+04|2.8120216667e+02|5.9006333333e+01
09/17/2014|04:40:00|4.4766735588e+04|1.4266758206e+04|2.8339843860e+02|5.9265184211e+01
09/17/2014|04:50:00|4.3519130246e+04|1.4179364877e+04|2.7834076974e+02|5.8636774123e+01
09/17/2014|05:00:00|4.3769161667e+04|1.4161932333e+04|2.7831945833e+02|5.8700541667e+01
09/17/2014|05:10:00|4.4267405250e+04|1.4343855417e+04|2.7835470833e+02|5.9240083333e+01
09/17/2014|05:20:00|4.4226537667e+04|1.4220362167e+04|2.7963429167e+02|5.8969250000e+01
09/17/2014|05:30:00|4.3611110083e+04|1.4158064917e+04|2.7878533333e+02|5.8816166667e+01
09/17/2014|05:40:00|4.3928848500e+04|1.4253439667e+04|2.7942241667e+02|5.9225583333e+01
09/17/2014|05:50:00|4.4641855952e+04|1.4130998270e+04|2.7936142063e+02|5.9130269841e+01
09/17/2014|06:00:00|4.5492385048e+04|1.4315003563e+04|2.8366716270e+02|5.8954480159e+01
09/17/2014|06:10:00|4.3516885395e+04|1.4221315070e+04|2.7770152632e+02|5.9169973684e+01
09/17/2014|06:20:00|4.3469561304e+04|1.4152276216e+04|2.7766647765e+02|5.8501760443e+01
09/17/2014|06:30:00|4.4011366609e+04|1.4219964293e+04|2.7935864515e+02|5.8896993943e+01
09/17/2014|06:40:00|4.3550442943e+04|1.4241020921e+04|2.7796389254e+02|5.9197730263e+01
09/17/2014|06:50:00|4.9636027083e+04|1.4289130833e+04|2.9589295833e+02|5.9223041667e+01
09/17/2014|07:00:00|4.3533777083e+04|1.4237146250e+04|2.7660375000e+02|5.8885333333e+01
09/17/2014|07:10:00|4.4738485833e+04|1.4322341333e+04|2.8125370833e+02|6.0232958333e+01
09/17/2014|07:20:00|4.6407810092e+04|1.4206137978e+04|2.8440711184e+02|5.9278883772e+01
09/17/2014|07:30:00|4.3730150947e+04|1.4234706263e+04|2.7829249123e+02|5.8829052632e+01
09/17/2014|07:40:00|4.7199838377e+04|1.4199337175e+04|2.8621368860e+02|5.8828521930e+01
09/17/2014|07:50:00|4.4219074272e+04|1.4182116018e+04|2.8000425877e+02|5.8697583333e+01
09/17/2014|08:00:00|4.6828680000e+04|1.4220210105e+04|2.8426200000e+02|5.8702403509e+01
09/17/2014|08:10:00|5.9554143640e+04|1.4237959132e+04|2.9753832456e+02|5.9662096491e+01
09/17/2014|08:20:00|4.3879815675e+04|1.4255570798e+04|2.7960460526e+02|5.8254622807e+01
09/17/2014|08:30:00|4.4085555912e+04|1.4283464197e+04|2.7982222807e+02|5.9458793860e+01
09/17/2014|08:40:00|4.6875641792e+04|1.4268692292e+04|2.8371737500e+02|5.9806291667e+01
09/17/2014|08:50:00|4.5180871542e+04|1.4198627708e+04|2.8086637500e+02|5.8718208333e+01
09/17/2014|09:00:00|4.3827263491e+04|1.4194797978e+04|2.8110681140e+02|5.8925442982e+01
09/17/2014|09:10:00|4.3455793693e+04|1.4269976588e+04|2.7879640351e+02|5.9030350877e+01
09/17/2014|09:20:00|4.3831927482e+04|1.4209971601e+04|2.7943995175e+02|5.8897289474e+01
09/17/2014|09:30:00|4.6081424228e+04|1.4258900461e+04|2.8316567982e+02|5.9098605263e+01
09/17/2014|09:40:00|5.0679435798e+04|1.4153910851e+04|2.9258706140e+02|5.8352114035e+01
09/17/2014|09:50:00|4.3647170833e+04|1.4215931307e+04|2.7847442982e+02|5.9006061404e+01
09/17/2014|10:00:00|4.4678188265e+04|1.4319853507e+04|2.8308899561e+02|5.9225302632e+01
09/17/2014|10:10:00|4.5054204752e+04|1.4193011897e+04|2.8222339035e+02|5.9013100877e+01
09/17/2014|10:20:00|4.4396400496e+04|1.4200980847e+04|2.8075364140e+02|5.8863764202e+01
09/17/2014|10:30:00|4.6489019048e+04|1.4170708679e+04|2.8237025334e+02|5.9189411236e+01
09/17/2014|10:40:00|4.5131069579e+04|1.4287771285e+04|2.8334413158e+02|5.9200140351e+01
09/17/2014|10:50:00|5.7095406833e+04|1.4230742583e+04|3.4623116667e+02|5.8908833333e+01
09/17/2014|11:00:00|4.7310616917e+04|1.4203771250e+04|2.8787191667e+02|5.8969583333e+01
09/17/2014|11:10:00|4.3849773155e+04|1.4258760075e+04|2.7973359524e+02|5.9604928571e+01
09/17/2014|11:20:00|4.4151687797e+04|1.4190670929e+04|2.8080357581e+02|5.8819461779e+01
09/17/2014|11:30:00|5.6839492860e+04|1.4292266509e+04|2.9917320175e+02|5.8923754386e+01
09/17/2014|11:40:00|4.6096507939e+04|1.4237738404e+04|2.8105037719e+02|5.9203771930e+01
09/17/2014|11:50:00|5.2208823044e+04|1.4229188860e+04|2.9115361404e+02|5.9110754386e+01
09/17/2014|12:00:00|4.6198145789e+04|1.4166931224e+04|2.8416113596e+02|5.9285328947e+01
09/17/2014|12:10:00|7.0431004083e+04|1.4236593500e+04|3.0825858333e+02|5.9495666667e+01
09/17/2014|12:20:00|4.6378542833e+04|1.4279437250e+04|2.8371937500e+02|5.9105958333e+01
