Date|Time|in|out|pktin|pktout
09/17/2014|00:00:00|7.6061425105e+04|6.6506059744e+04|2.9721086310e+02|2.9572618452e+02
09/17/2014|00:10:00|7.5756275687e+04|6.6249932173e+04|2.9583667857e+02|2.9479660714e+02
09/17/2014|00:20:00|7.5583984000e+04|6.6139050875e+04|2.9481283333e+02|2.9431833333e+02
09/17/2014|00:30:00|7.5468420500e+04|6.6046615792e+04|2.9411020833e+02|2.9362266667e+02
09/17/2014|00:40:00|7.5846400875e+04|6.6354905375e+04|2.9600833333e+02|2.9520454167e+02
09/17/2014|00:50:00|7.5604659083e+04|6.6155309125e+04|2.9458900000e+02|2.9409195833e+02
09/17/2014|01:00:00|7.5650283046e+04|6.6180036252e+04|2.9520714881e+02|2.9415470238e+02
09/17/2014|01:10:00|7.6075267123e+04|6.6546588627e+04|2.9651708730e+02|2.9586500000e+02
09/17/2014|01:20:00|7.4971755248e+04|6.5607443621e+04|2.9212288889e+02|2.9159129762e+02
09/17/2014|01:30:00|7.5701959750e+04|6.6233480375e+04|2.9546812500e+02|2.9477304167e+02
09/17/2014|01:40:00|7.5955378042e+04|6.6390812125e+04|2.9608516667e+02|2.9530387500e+02
09/17/2014|01:50:00|7.5526546500e+04|6.6123054667e+04|2.9549500000e+02|2.9437962500e+02
09/17/2014|02:00:00|7.5949318875e+04|6.6412638750e+04|2.9639991667e+02|2.9518604167e+02
09/17/2014|02:10:00|7.5877293805e+04|6.6176988033e+04|2.9469701096e+02|2.9409736842e+02
09/17/2014|02:20:00|7.5983149904e+04|6.6691234509e+04|2.9736165570e+02|2.9616483991e+02
09/17/2014|02:30:00|7.5448334583e+04|6.6015721833e+04|2.9370437500e+02|2.9342083333e+02
09/17/2014|02:40:00|7.5668299057e+04|6.6190374298e+04|2.9522240789e+02|2.9416401096e+02
09/17/2014|02:50:00|7.5660247360e+04|6.6209438535e+04|2.9515267544e+02|2.9423078070e+02
09/17/2014|03:00:00|7.5572347417e+04|6.6113197292e+04|2.9438350000e+02|2.9379237500e+02
09/17/2014|03:10:00|7.5780162167e+04|6.6296243917e+04|2.9560541667e+02|2.9464345833e+02
09/17/2014|03:20:00|7.5807279810e+04|6.6271451954e+04|2.9628044048e+02|2.9466781746e+02
09/17/2014|03:30:00|7.5871602940e+04|6.6339414254e+04|2.9637476786e+02|2.9489155754e+02
09/17/2014|03:40:00|7.5781845208e+04|6.6295233750e+04|2.9593887500e+02|2.9494412500e+02
09/17/2014|03:50:00|7.5542018833e+04|6.6065756083e+04|2.9495200000e+02|2.9403620833e+02
09/17/2014|04:00:00|7.5382983248e+04|6.5970957865e+04|2.9430512302e+02|2.9348893056e+02
09/17/2014|04:10:00|7.5881113585e+04|6.6331770552e+04|2.9577500198e+02|2.9459161111e+02
09/17/2014|04:20:00|7.5943579208e+04|6.6454960583e+04|2.9643983333e+02|2.9541758333e+02
09/17/2014|04:30:00|7.5753248583e+04|6.6258564875e+04|2.9543295833e+02|2.9431129167e+02
09/17/2014|04:40:00|7.5571521958e+04|6.6125826958e+04|2.9463308333e+02|2.9420104167e+02
09/17/2014|04:50:00|7.5339235792e+04|6.5935372000e+04|2.9380758333e+02|2.9359820833e+02
09/17/2014|05:00:00|7.5525237635e+04|6.6116302119e+04|2.9463021429e+02|2.9415197817e+02
09/17/2014|05:10:00|7.6191205657e+04|6.6651005506e+04|2.9716770238e+02|2.9637056349e+02
